plugins,frequency_in_ms,execution_time_in_ms,overhead
hwpower_likwid,1000,55995.37,1.33
hwpower_likwid,500,56112.77,1.55
hwpower_likwid,600,55781.83,.95
hwpower_likwid,700,55370.21,.20
hwpower_likwid,800,55756.86,.90
hwpower_likwid,900,55720.64,.84
hwpower_meminfo,1000,55887.83,1.14
hwpower_meminfo,500,56111.60,1.55
hwpower_meminfo,600,55900.00,1.16
hwpower_meminfo,700,56002.77,1.35
hwpower_meminfo,800,56246.11,1.79
hwpower_meminfo,900,56030.98,1.40
hwpower_papi,1000,55493.45,.43
hwpower_papi,500,56088.97,1.50
hwpower_papi,600,55804.25,.99
hwpower_papi,700,55885.09,1.14
hwpower_papi,800,55856.69,1.08
hwpower_papi,900,55817.77,1.01
hwpower_papi+likwid,1000,55629.11,.67
hwpower_papi+likwid,500,55552.72,.53
hwpower_papi+likwid,600,55416.30,.29
hwpower_papi+likwid,700,55538.90,.51
hwpower_papi+likwid,800,55745.08,.88
hwpower_papi+likwid,900,54981.82,-.50
hwpower_papi+meminfo,1000,55881.70,1.13
hwpower_papi+meminfo,500,55667.51,.74
hwpower_papi+meminfo,600,55229.45,-.05
hwpower_papi+meminfo,700,55901.38,1.16
hwpower_papi+meminfo,800,55377.51,.22
hwpower_papi+meminfo,900,55971.51,1.29
hwpower_papi+rapl,1000,55896.91,1.16
hwpower_papi+rapl,500,55732.83,.86
hwpower_papi+rapl,600,55409.86,.28
hwpower_papi+rapl,700,55634.42,.68
hwpower_papi+rapl,800,55474.06,.39
hwpower_papi+rapl,900,55954.03,1.26
hwpower_rapl,1000,55735.84,.87
hwpower_rapl,500,55797.18,.98
hwpower_rapl,600,55680.60,.77
hwpower_rapl,700,55844.02,1.06
hwpower_rapl,800,55315.72,.10
hwpower_rapl,900,55898.51,1.16
