plugins,frequency_in_ms,execution_time_in_ms,overhead
mf_likwid,1000,,100
mf_likwid+mf_likwid,500,,100
mf_likwid+mf_likwid+mf_likwid,600,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid,700,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid,800,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid,900,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo,1000,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo,500,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo,600,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo,700,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo,800,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo,900,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi,1000,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi,500,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi,600,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi,700,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi,800,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi,900,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid,1000,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid,500,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid,600,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid,700,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid,800,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid,900,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo,1000,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo,500,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo,600,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo,700,,100
mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_likwid+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_meminfo+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+likwid+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo+mf_papi+meminfo,800,,100
