plugins,frequency_in_ms,execution_time_in_ms,overhead
likwid,1000,55800.76,.98
likwid,500,56138.16,1.59
likwid,600,56095.18,1.52
likwid,700,55991.12,1.33
likwid,800,56131.44,1.58
likwid,900,56102.48,1.53
meminfo,1000,55996.81,1.34
meminfo,500,56269.82,1.83
meminfo,600,55888.04,1.14
meminfo,700,56526.89,2.30
meminfo,800,56185.60,1.68
meminfo,900,56049.34,1.43
papi,1000,56270.02,1.83
papi,500,56012.65,1.37
papi,600,55722.21,.84
papi,700,55917.94,1.19
papi,800,55936.40,1.23
papi,900,55389.82,.24
papi+likwid,1000,55882.72,1.13
papi+likwid,500,55899.95,1.16
papi+likwid,600,55975.78,1.30
papi+likwid,700,55916.21,1.19
papi+likwid,800,55225.44,-.06
papi+likwid,900,55912.13,1.18
papi+meminfo,1000,55931.58,1.22
papi+meminfo,500,56051.24,1.44
papi+meminfo,600,56200.03,1.71
papi+meminfo,700,55810.79,1.00
papi+meminfo,800,56111.82,1.55
papi+meminfo,900,55958.80,1.27
papi+rapl,1000,56130.25,1.58
papi+rapl,500,55871.90,1.11
papi+rapl,600,55830.69,1.04
papi+rapl,700,56184.51,1.68
papi+rapl,800,56388.50,2.05
papi+rapl,900,56276.04,1.84
rapl,1000,55956.02,1.26
rapl,500,56072.83,1.48
rapl,600,55745.45,.88
rapl,700,55805.82,.99
rapl,800,56168.05,1.65
rapl,900,56081.35,1.49
