plugins,frequency_in_ms,execution_time_in_ms,overhead
mf_likwid,1000,55805.80,.99
mf_likwid,500,56222.82,1.75
mf_likwid,600,56104.83,1.53
mf_likwid,700,56037.51,1.41
mf_likwid,800,55781.68,.95
mf_likwid,900,55981.23,1.31
mf_meminfo,1000,55873.30,1.11
mf_meminfo,500,56186.26,1.68
mf_meminfo,600,56179.69,1.67
mf_meminfo,700,56250.49,1.80
mf_meminfo,800,55994.26,1.33
mf_meminfo,900,55977.70,1.30
mf_papi,1000,56150.31,1.62
mf_papi,500,56145.19,1.61
mf_papi,600,56160.22,1.63
mf_papi,700,56270.89,1.83
mf_papi,800,55974.06,1.30
mf_papi,900,56127.90,1.57
mf_papi+likwid,1000,56204.66,1.71
mf_papi+likwid,500,56679.93,2.57
mf_papi+likwid,600,56879.90,2.94
mf_papi+likwid,700,56532.45,2.31
mf_papi+likwid,800,56478.74,2.21
mf_papi+likwid,900,56167.05,1.65
mf_papi+meminfo,1000,56248.24,1.79
mf_papi+meminfo,500,56720.15,2.65
mf_papi+meminfo,600,56744.64,2.69
mf_papi+meminfo,700,56309.88,1.90
mf_papi+meminfo,800,56052.35,1.44
mf_papi+meminfo,900,56200.92,1.71
mf_papi+rapl,1000,56056.92,1.45
mf_papi+rapl,500,56178.85,1.67
mf_papi+rapl,600,56391.31,2.05
mf_papi+rapl,700,56256.48,1.81
mf_papi+rapl,800,56458.46,2.17
mf_papi+rapl,900,55976.26,1.30
mf_rapl,1000,56113.98,1.55
mf_rapl,500,56021.23,1.38
mf_rapl,600,55994.78,1.33
mf_rapl,700,55892.49,1.15
mf_rapl,800,56201.21,1.71
mf_rapl,900,55959.21,1.27
